duration,poutcome,contact,housing,pdays,previous,campaign,loan,marital,y
597,0,0,1,0,0,3,0,2,0
505,1,2,1,260,1,2,0,0,0
380,0,0,1,0,0,4,1,0,0
120,0,2,0,0,0,1,0,2,0
106,0,2,0,0,0,4,0,2,0
332,2,2,1,358,2,2,0,2,0
221,0,0,1,0,0,4,0,2,0
80,0,2,1,0,0,1,0,2,0
60,3,2,0,87,1,5,0,0,0
212,0,1,1,0,0,3,1,2,0
493,0,2,1,0,0,3,0,2,0
98,0,2,1,0,0,2,0,1,0
681,0,2,0,0,0,1,1,0,1
203,0,2,0,0,0,1,0,0,0
157,0,2,0,0,0,1,1,2,0
287,0,0,0,0,0,1,0,2,0
159,0,2,1,0,0,2,0,2,0
125,0,0,1,0,0,1,0,2,0
202,0,2,0,0,0,2,0,2,0
37,2,1,1,303,1,3,0,2,0
161,2,2,0,98,2,1,0,2,1
72,0,2,0,0,0,4,0,2,0
342,0,2,0,0,0,1,0,0,0
262,2,2,1,183,1,1,0,1,1
325,0,2,0,0,0,2,0,2,0
223,0,1,0,0,0,7,0,2,0
1212,0,2,0,0,0,4,0,1,1
319,0,2,0,0,0,2,0,0,0
182,0,2,0,0,0,2,0,0,0
330,0,2,1,0,0,1,1,2,0
514,0,2,1,0,0,1,1,2,0
213,0,0,1,0,0,1,0,1,0
551,2,2,1,351,1,1,0,2,0
472,0,2,1,0,0,2,0,0,0
140,2,2,1,327,2,4,0,0,0
142,0,0,1,0,0,1,0,0,0
135,0,0,1,0,0,3,0,0,0
293,0,0,1,0,0,1,1,2,0
107,0,0,1,0,0,1,0,2,0
127,0,0,1,0,0,2,0,2,0
1816,0,2,1,0,0,1,0,2,0
200,0,2,0,0,0,3,0,2,0
418,0,2,1,0,0,1,0,2,0
387,0,2,1,0,0,4,0,0,0
156,2,2,0,337,3,1,0,2,0
121,0,2,0,0,0,2,1,2,0
108,0,0,0,0,0,2,0,1,0
47,0,2,1,0,0,1,0,2,0
16,1,2,1,322,4,5,0,0,0
54,0,2,1,0,0,2,0,2,0
265,0,2,1,0,0,2,0,2,0
168,0,0,1,0,0,1,0,1,0
115,0,2,1,0,0,3,0,0,0
31,0,2,0,0,0,8,0,0,0
279,0,1,1,0,0,4,0,2,1
28,0,2,0,0,0,2,0,2,0
369,0,2,1,0,0,1,0,2,0
247,0,0,1,0,0,1,0,2,0
155,0,2,0,0,0,1,0,2,0
89,0,2,0,0,0,1,0,2,0
180,0,2,1,0,0,1,0,2,0
854,0,2,1,0,0,1,0,2,1
46,0,2,1,0,0,1,0,1,0
266,0,0,1,0,0,2,1,2,0
321,0,2,1,0,0,2,0,2,0
99,0,2,0,0,0,24,0,2,0
147,0,0,1,0,0,1,0,2,0
430,0,2,0,0,0,1,0,0,1
264,0,2,0,0,0,1,1,0,0
156,0,2,0,0,0,6,0,0,0
118,2,2,0,102,2,1,0,1,0
343,0,0,0,0,0,3,0,2,0
226,0,2,1,0,0,3,0,2,0
5,0,0,0,0,0,1,0,1,0
138,0,2,1,0,0,1,0,1,0
185,3,2,1,99,5,1,0,2,1
722,2,1,0,99,4,1,0,2,0
748,0,0,1,0,0,1,0,2,0
142,0,0,1,0,0,1,0,2,0
523,0,2,1,0,0,3,0,0,0
8,0,0,1,0,0,10,0,0,0
153,0,2,1,0,0,1,0,2,0
210,0,0,1,0,0,2,0,2,0
121,0,2,1,0,0,1,0,2,0
212,0,2,0,0,0,1,0,2,1
253,0,0,1,0,0,3,0,2,0
139,0,0,1,0,0,4,0,2,0
71,0,0,1,0,0,1,0,2,0
421,3,1,0,92,2,1,0,2,1
199,0,0,1,0,0,1,0,2,0
108,0,0,1,0,0,1,0,2,0
247,0,0,1,0,0,2,0,0,0
236,0,1,1,0,0,4,0,0,0
97,2,2,1,196,5,4,0,2,0
109,0,2,0,0,0,8,0,2,0
112,0,2,1,0,0,2,0,2,0
15,0,0,1,0,0,10,0,2,0
502,0,2,1,0,0,3,0,1,0
30,0,0,1,0,0,3,0,2,0
193,0,0,1,0,0,2,0,0,0
347,0,2,1,0,0,2,0,2,0
468,0,0,1,0,0,2,0,2,0
148,0,0,1,0,0,1,0,1,0
295,3,1,0,91,2,1,0,2,1
388,0,2,0,0,0,6,0,2,1
1735,0,2,1,0,0,4,0,0,1
339,0,0,1,0,0,1,0,1,0
172,2,2,1,370,1,1,0,2,0
117,0,2,1,0,0,2,1,0,0
587,0,0,0,0,0,2,1,0,0
501,0,2,1,0,0,2,0,0,0
203,2,2,0,84,1,5,0,0,0
282,0,1,1,0,0,9,1,2,0
110,0,2,0,0,0,5,0,2,0
104,0,2,0,0,0,2,0,0,1
231,0,2,0,0,0,1,0,2,0
378,0,0,1,0,0,3,0,2,0
193,0,2,0,0,0,6,1,0,0
110,0,0,1,0,0,5,0,1,0
92,0,2,1,0,0,1,0,0,0
1407,0,2,0,0,0,1,0,0,1
168,2,2,1,212,2,1,1,2,0
738,0,2,1,0,0,3,0,2,0
220,2,2,1,63,5,1,0,2,1
89,0,0,1,0,0,2,0,1,0
30,0,2,1,0,0,29,0,2,0
103,2,2,0,325,4,1,0,1,0
70,0,0,1,0,0,1,1,2,0
904,0,2,1,0,0,2,0,2,1
159,1,2,1,367,2,1,0,2,0
336,1,2,0,81,2,1,0,2,0
220,0,0,0,0,0,1,0,2,0
238,0,1,0,0,0,1,0,2,0
585,2,2,1,191,4,4,0,1,0
293,0,2,0,0,0,3,0,2,0
68,0,0,1,0,0,1,0,2,0
97,0,0,0,0,0,1,0,2,0
1713,0,0,1,0,0,1,0,2,0
218,0,2,0,0,0,3,0,1,0
109,2,2,1,360,2,1,0,2,0
661,0,1,1,0,0,1,0,2,0
145,0,2,1,0,0,1,0,0,0
54,0,1,1,0,0,4,0,2,0
111,0,2,1,0,0,1,0,0,0
566,0,0,1,0,0,2,0,1,0
136,0,2,0,0,0,1,0,2,0
273,0,2,0,0,0,1,0,2,0
160,0,2,0,0,0,1,0,2,0
76,0,2,0,0,0,4,0,0,0
44,0,2,0,0,0,1,0,2,0
239,0,0,1,0,0,1,1,2,0
250,3,2,0,181,4,2,0,0,1
792,0,2,0,0,0,4,0,0,0
198,0,2,1,0,0,13,0,2,0
73,0,0,1,0,0,1,0,2,0
157,0,2,0,0,0,3,0,2,0
90,0,2,1,0,0,6,0,2,0
236,0,2,0,0,0,2,0,2,0
118,0,2,0,0,0,5,0,2,0
40,0,1,0,0,0,1,0,0,0
346,0,2,1,0,0,1,0,0,0
200,0,0,0,0,0,2,0,2,0
187,1,2,1,332,3,3,0,2,0
113,2,2,0,80,1,1,0,2,0
192,0,0,1,0,0,32,0,2,0
92,0,0,0,0,0,1,0,0,0
682,3,2,1,85,7,2,0,2,0
139,0,2,0,0,0,9,0,2,0
501,0,2,0,0,0,2,0,0,1
651,0,2,0,0,0,1,1,2,1
405,0,2,1,0,0,13,0,1,0
350,0,0,1,0,0,1,0,2,0
125,0,2,0,0,0,2,0,0,0
36,0,2,1,0,0,2,0,2,0
35,2,2,1,176,1,1,0,2,0
389,0,0,1,0,0,2,0,2,0
194,2,2,1,247,1,1,1,2,0
168,0,2,0,0,0,3,0,0,0
347,0,0,1,0,0,3,0,1,0
3025,0,2,0,0,0,2,0,2,0
83,0,2,0,0,0,13,0,0,0
332,0,0,1,0,0,2,0,2,0
219,0,2,0,0,0,10,0,2,0
427,2,2,1,150,1,1,0,2,0
65,0,2,0,0,0,5,0,2,0
192,0,2,1,0,0,2,0,1,0
155,0,2,0,0,0,1,0,2,0
161,0,2,1,0,0,1,1,2,0
533,0,2,1,0,0,1,0,2,0
19,1,2,0,175,2,3,0,2,0
193,2,2,0,176,8,1,1,0,0
819,0,2,1,0,0,3,1,2,0
278,0,2,0,0,0,1,0,0,1
211,0,1,1,0,0,3,1,2,0
617,0,2,0,0,0,2,0,0,0
61,0,2,1,0,0,2,0,2,0
197,0,2,1,0,0,6,0,1,0
34,0,2,1,0,0,7,0,0,0
95,0,2,1,0,0,4,1,2,0
147,0,0,1,0,0,2,0,2,0
668,0,2,0,0,0,2,1,2,0
87,0,0,0,0,0,2,0,2,0
405,0,2,0,0,0,1,1,2,0
83,0,0,1,0,0,7,1,2,0
115,0,2,0,0,0,1,0,2,0
108,0,2,1,0,0,1,0,0,0
113,0,2,0,0,0,1,0,2,0
58,2,2,1,382,1,2,0,2,0
148,0,2,0,0,0,4,0,2,0
188,2,2,1,261,2,1,0,1,0
75,0,1,1,0,0,3,0,1,0
523,0,2,1,0,0,3,1,1,0
103,0,1,1,0,0,1,1,2,0
146,3,2,1,147,4,2,0,2,0
356,0,2,0,0,0,1,0,0,1
71,0,2,1,0,0,1,0,2,0
189,0,2,1,0,0,2,1,2,0
251,0,0,1,0,0,1,0,2,0
127,0,2,0,0,0,8,0,1,0
197,0,1,0,0,0,1,0,0,0
84,0,2,1,0,0,1,1,2,0
141,0,0,0,0,0,2,0,0,0
171,0,0,1,0,0,1,0,2,0
262,0,2,0,0,0,3,0,0,0
352,0,2,0,0,0,2,0,2,1
236,2,2,1,336,1,1,0,2,0
184,0,0,1,0,0,1,0,2,0
568,0,2,1,0,0,2,1,0,0
105,0,2,0,0,0,2,0,0,0
260,0,2,1,0,0,1,0,2,0
222,3,2,0,182,4,3,0,2,1
447,0,0,1,0,0,2,0,2,0
239,0,2,1,0,0,8,0,0,0
426,0,2,1,0,0,1,0,0,0
333,2,2,0,58,3,1,0,0,0
174,0,2,0,0,0,2,0,2,0
284,0,0,1,0,0,2,1,2,0
428,0,2,1,0,0,1,0,0,0
236,0,2,1,0,0,1,1,2,0
150,0,2,0,0,0,2,0,2,0
237,2,2,0,206,2,1,0,2,0
1031,0,2,1,0,0,8,1,0,1
107,2,2,0,105,3,1,0,2,0
45,0,0,1,0,0,13,0,2,0
140,0,2,0,0,0,10,0,2,0
700,0,0,0,0,0,1,0,1,1
155,0,2,0,0,0,1,1,1,0
211,0,0,1,0,0,5,0,1,0
165,0,2,0,0,0,4,0,2,0
144,0,2,0,0,0,5,1,1,0
590,0,0,1,0,0,3,0,0,1
43,0,0,0,0,0,8,0,1,0
471,0,0,0,0,0,2,0,2,0
295,0,0,1,0,0,2,0,0,0
526,0,0,1,0,0,2,0,2,1
27,0,2,1,0,0,10,1,0,0
1181,0,2,0,0,0,4,0,2,1
103,0,2,0,0,0,2,0,2,0
249,2,1,1,112,2,3,0,1,0
231,0,2,1,0,0,4,0,2,0
123,2,2,1,147,3,2,1,2,0
199,2,2,1,146,2,2,0,0,0
197,2,2,0,199,3,1,0,0,0
67,0,0,1,0,0,2,0,1,0
220,0,2,0,0,0,1,1,2,0
122,0,2,0,0,0,6,0,2,0
104,0,0,1,0,0,7,0,2,0
307,0,2,1,0,0,6,0,1,0
117,3,2,0,91,1,1,0,2,0
253,3,2,0,342,1,1,0,2,0
770,0,2,1,0,0,2,0,2,0
190,1,2,1,133,1,1,1,1,0
767,0,2,1,0,0,5,0,0,1
232,0,2,1,0,0,2,0,0,1
854,1,2,1,170,3,2,0,2,0
293,0,0,1,0,0,6,0,0,0
986,2,1,0,94,8,1,0,2,0
66,0,2,0,0,0,1,0,2,0
114,2,2,0,208,1,1,1,2,0
205,0,2,0,0,0,1,0,1,0
31,0,1,0,0,0,4,1,2,0
113,0,0,0,0,0,1,0,2,0
200,2,2,1,253,1,1,0,2,0
158,2,2,1,135,1,1,0,2,0
99,0,0,1,0,0,4,0,2,0
45,0,2,0,0,0,3,0,1,0
239,1,2,1,278,2,4,0,2,0
168,0,1,1,0,0,3,0,0,0
196,0,2,0,0,0,2,1,2,0
319,0,0,0,0,0,6,0,0,0
209,0,0,0,0,0,3,0,2,0
184,0,2,0,0,0,1,0,0,0
156,0,2,0,0,0,2,1,2,0
35,0,2,1,0,0,16,0,2,0
88,0,2,1,0,0,2,0,0,0
347,3,2,0,140,2,3,0,0,1
126,2,2,1,149,8,2,0,2,0
157,0,2,1,0,0,5,0,2,0
212,0,0,1,0,0,5,0,2,0
123,0,1,0,0,0,1,0,2,0
306,0,0,1,0,0,5,1,0,0
63,0,0,1,0,0,1,0,0,0
119,0,2,0,0,0,1,1,0,0
29,0,0,1,0,0,1,0,0,0
117,0,2,0,0,0,2,0,2,0
231,0,2,0,0,0,2,0,2,0
